PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
45526,Abraham Ancer,2022 Fortinet Championship,66.86,1.51,297.1,70.54,70.19,60.69,0.34,28.62
40098,Matt Fitzpatrick,2022 Fortinet Championship,66.83,1.66,303.8,63.38,69.5,69.62,0.57,28.83
34174,John Huh,2022 Fortinet Championship,66.82,1.45,292.0,66.44,69.99,59.5,0.47,28.76
27095,Nick Watney,2022 Fortinet Championship,66.81,1.03,301.2,53.74,71.71,54.41,0.66,29.89
46442,Maverick McNealy,2022 Fortinet Championship,66.79,1.51,307.4,57.92,69.75,57.98,0.43,28.42
22056,Cameron Percy,2022 Fortinet Championship,66.79,1.44,292.3,61.41,70.18,60.84,0.41,28.77
23320,Ryan Palmer,2022 Fortinet Championship,66.75,1.2,305.6,56.76,70.58,56.86,0.57,29.51
34264,Hudson Swafford,2022 Fortinet Championship,66.75,1.31,307.4,60.76,70.78,54.05,0.61,29.27
46601,Trey Mullinax,2022 Fortinet Championship,66.73,1.47,317.2,54.86,70.06,58.45,0.44,28.82
49771,J.T. Poston,2022 Fortinet Championship,66.73,1.5,298.2,59.45,69.78,64.9,0.51,28.88
54783,Dylan Wu,2022 Fortinet Championship,66.58,1.16,296.5,58.86,70.99,57.32,0.49,29.58
23325,Vaughn Taylor,2022 Fortinet Championship,66.56,1.44,284.7,68.12,70.15,63.64,0.47,28.89
34256,Andrew Putnam,2022 Fortinet Championship,66.55,1.45,284.8,64.54,69.98,65.72,0.5,28.81
49960,Sepp Straka,2022 Fortinet Championship,66.55,1.2,303.0,59.87,70.82,57.97,0.56,29.32
26476,Chez Reavie,2022 Fortinet Championship,66.54,1.25,283.9,70.43,70.58,60.35,0.53,29.2
29908,C.T. Pan,2022 Fortinet Championship,66.53,1.32,296.7,62.26,70.45,60.12,0.48,29.1
